feature,score
LOC110500633_1,1.0612065695506347
mcm5_1,1.0611158346643044
LOC110504131_2,1.0609192910326444
LOC110523808_1,1.0597596798376148
bzw1a_1,1.0588010033031565
LOC110502333_1,1.0585631988282198
cnpy3_1,1.0573707349978885
LOC110534136_1,1.0566541438246695
LOC110527396_1,1.0565350637888886
LOC110522548_1,1.0563663334179523
LOC110512265_1,1.056244843139273
LOC110504131_1,1.0557870939010192
LOC110525945_1,1.0557518558132197
LOC110538825_1,1.0549743636689655
LOC110488340_1,1.0547736637107716
LOC110498989_1,1.053728295268518
nedd8_1,1.0508258293792798
LOC110502631_1,1.050462051296565
LOC110508977_1,1.0500778746719397
si:dkey-237i9.8_7,1.049728669181604
LOC110502376_1,1.0496482361356838
LOC110504917_1,1.049053374541728
LOC118941387_1,1.0480277479837787
LOC110537954_1,1.0472445702482018
LOC110494097_1,1.0471225977191951
LOC110532610_1,1.046719133665321
LOC110521779_1,1.0466820338265022
LOC110532516_2,1.0460325209885517
tgm5l_1,1.0459707999125984
LOC110530628_1,1.0455806454273198
LOC110501563_1,1.0453039937767352
LOC110521845_2,1.044852271246276
wu:fl23c11_1,1.0444836750976005
LOC110497733_1,1.0442318354107398
LOC110521431_1,1.0435959867569409
LOC110497116_1,1.0433607675175263
rsrp1_2,1.0433451411487118
LOC110534484_1,1.042720136348768
myg1_1,1.0419028735462106
pim2_1,1.040930512204671
LOC110498654_2,1.0407950924384302
LOC110485869_1,1.0407256922670896
LOC110496231_1,1.0404429169165645
LOC110533564_1,1.0404301741983266
scarb2c_1,1.0394058461441995
agr2_1,1.0384802544985918
LOC110497353_5,1.0376999979974002
yee9_1,1.0370737046071348
LOC110486547_1,1.0364889497721865
LOC110508798_1,1.0364416163665637
LOC110509900_1,1.0361751448821135
LOC110532719_1,1.0359926950108473
uri1_1,1.0359528792050325
LOC110492758_1,1.0356906100670833
LOC110527679_1,1.0348590823532575
zgc:193811_1,1.0347067320987846
LOC110536990_1,1.0340821757158631
LOC110524476_5,1.0340478813162184
LOC110497915_1,1.0338580814360163
calm2a_1,1.033804914630371
LOC110533160_1,1.0333946431929728
rwdd_1,1.0333458090105132
LOC110528150_1,1.032864049175413
LOC110508000_1,1.0327896359925708
mlrn_1,1.0320381017816613
rapgef3_6,1.0318670999833641
kdelr2b_1,1.0316452145385517
LOC110515809_1,1.0310970792905492
LOC110521512_1,1.030877763319562
LOC110485906_1,1.0308364104470467
LOC110533431_1,1.030543746562084
daam1a_1,1.03044358899716
LOC110509034_2,1.030387716983647
LOC110533349_1,1.0303158746492442
LOC110500212_1,1.0297049337643265
heg1_2,1.029414857965711
LOC110497184_2,1.029257246603921
tmem59_1,1.029090800633222
LOC110530043_2,1.0289704186489894
LOC110508969_3,1.0278251568242143
LOC100135811_1,1.0273032218219458
flna_2,1.0272235632297266
ndufb5_1,1.0270879223597298
LOC110524730_1,1.0269444785949957
LOC110518882_1,1.0261364522198217
LOC110497424_1,1.0256048127762774
LOC110488957_1,1.0254520797554654
LOC110531606_1,1.024854638950569
selenot2_1,1.0239310829846537
LOC110493296_1,1.0238543907308637
LOC110526857_1,1.023214323900688
LOC110496728_1,1.0225160900940249
LOC110533950_2,1.0218921448957765
mmp14a_1,1.0213165036037823
LOC110500442_1,1.0208708143871865
arf4_1,1.0208176444907806
LOC110485989_1,1.0199822730138381
LOC110485971_1,1.019426600029096
LOC110506010_1,1.019229744141032
LOC110487935_1,1.0190315695032437
LOC110501960_1,1.0185768677554385
LOC110493413_1,1.0183996998408311
pdgfra_1,1.0183508404614763
phf19_1,1.0182238615667945
lamc1_1,1.0177673104564766
tonsl_1,1.0174444541379244
LOC110524266_1,1.0168951280237593
LOC110501918_1,1.0168560994998237
pfkpa_5,1.0167666902850279
LOC118965953_1,1.0163572124107834
LOC110524711_1,1.0163342937544324
LOC118945268_1,1.0153787032720407
LOC110493505_1,1.0150763902655568
LOC110490368_1,1.015010775169012
LOC110529451_1,1.014801673662503
LOC118965477_1,1.0146745812849374
LOC110490186_1,1.0145244243495473
LOC110527334_1,1.0142397784399009
LOC110499211_1,1.0141830984812343
si:dkey-13n15.2_2,1.0140678164451369
LOC110533997_1,1.0139681373559533
LOC110528831_1,1.0138321047959091
drg1_1,1.0136741878692095
LOC110501782_1,1.0131589928354183
LOC110490759_3,1.0129967045102741
LOC110494552_4,1.012708248726586
LOC110494630_1,1.012668990686863
parp1_1,1.0126025716220397
ccl36.1_1,1.012406591272662
tgm5l_2,1.012192120258919
LOC110504545_1,1.0117023015489757
LOC110537522_1,1.011678085176949
LOC110533667_1,1.0115869446350807
snrpd2_1,1.0113218902982553
rarab_1,1.011193825649663
lsm7_1,1.0111348221531595
LOC110504451_1,1.0109632423569668
LOC110491465_2,1.0106947316099542
LOC110488948_1,1.0092306222667702
flna_4,1.008675385508755
LOC110503695_1,1.0084993342806061
LOC110486195_1,1.0083930919166788
LOC110505148_2,1.0082376412093152
LOC110503981_1,1.008180272178189
sec13_1,1.0078426601506933
arl14ep_1,1.007831183414553
LOC110529434_1,1.0077640694426402
scarb2a_3,1.0075919521890135
tm2d3_1,1.0071527649389125
LOC110537530_1,1.0058615098562569
LOC110530674_1,1.0052498887560524
strn_3,1.0048603817243071
LOC110527491_9,1.004793336286152
LOC110488037_1,1.0043529403567653
ccn1l1_1,1.004108568897434
LOC110489704_1,1.0040043857251222
LOC110500396_1,1.0037740309620666
smad6b_2,1.003586974323741
LOC110538837_1,1.0033627094936797
LOC110537432_1,1.0033432693152775
LOC110528539_11,1.0029443429242644
zn706_1,1.002823775437129
LOC110526621_1,1.0027509381722093
COX3_1,1.0027389125072494
LOC110522065_1,1.0020381557794202
agps_2,1.0010040501473874
ptpa_1,1.0008779957537246
taf10_4,1.0007036214094587
LOC110522001_1,1.0006842655805137
LOC100135869_1,1.000512876191447
LOC110538914_1,1.0004902538631704
LOC110496857_1,1.0004890539151008
rhag_1,0.9998003796666437
LOC110496231_5,0.9996730048167293
LOC100301658_1,0.9994340712674408
LOC110488157_3,0.9994231235705024
LOC110535445_1,0.9989031248316955
lasp1_1,0.9985646438682145
LOC110525641_1,0.9983303190166828
panx3_1,0.9970039600401075
psat1_1,0.9969007327520976
leg_1,0.9966684021598597
eno1a_2,0.9966127207912914
LOC110498834_1,0.9962645113279336
LOC110495666_5,0.9955481354682745
LOC110527243_1,0.9951360223592913
gins1_1,0.9950870433439511
LOC110505008_1,0.9945641772407958
LOC110505736_1,0.9945182180717889
LOC110508247_1,0.9944080735866443
LOC110495637_4,0.9943914161297693
LOC110504919_1,0.9942969671005377
cdc20_1,0.9940485285233072
LOC110502422_1,0.9939667136943982
LOC110530152_1,0.9938304960715669
LOC110532410_1,0.9936386166701818
LOC110537346_2,0.9932662482232166
LOC110535056_1,0.993212737017859
LOC110538914_2,0.9929848209133918
cdca7a_1,0.9928820950256259
LOC110502703_1,0.9927771060603425
LOC110524135_1,0.9926807860321509
LOC110529637_1,0.9925030161595814
enc1_1,0.9922550298711008
LOC110538329_1,0.9919987057070752
LOC110495326_1,0.9918362976371511
COX1_1,0.9915312364543727
LOC100136179_1,0.9913906666518648
LOC110530431_1,0.9910190769918823
LOC110537935_3,0.9909725564432932
ube2ia_1,0.9905373911184219
LOC110485112_1,0.9902788784981371
ube2n_1,0.9902314531327576
